Time_spent_Alone,Social_event_attendance,Going_outside,Friends_circle_size,Post_frequency,Personality,Stage_fear_No,Stage_fear_Yes,Drained_after_socializing_No,Drained_after_socializing_Yes,Interaction_Time,Social_Stress,Friends_to_Events_Ratio,Social_Media_Engagement,Social_Behavior,Energy_Social
4.0,4.0,6.0,13.0,5.0,Extrovert,1.0,0.0,1.0,0.0,10.0,0,3.2499918750203127,20.0,7.666666666666667,1
9.0,0.0,0.0,0.0,3.0,Introvert,0.0,1.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0
9.0,1.0,2.0,5.0,2.0,Introvert,0.0,1.0,0.0,1.0,3.0,1,4.999950000499995,2.0,2.6666666666666665,0
0.0,6.0,7.0,14.0,8.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,2.3333294444509263,48.0,9.0,1
3.0,9.0,4.0,8.0,5.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,0.8888879012356653,45.0,7.0,1
1.0,7.0,5.0,6.0,6.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,0.8571416326548106,42.0,6.0,1
4.0,9.0,3.0,7.0,7.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,0.7777769135812072,63.0,6.333333333333333,1
2.0,8.0,4.0,7.0,8.0,Extrovert,1.0,0.0,1.0,0.0,12.0,0,0.8749989062513672,64.0,6.333333333333333,1
10.0,1.0,3.0,0.0,3.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,0.0,3.0,1.3333333333333333,0
0.0,8.0,6.0,13.0,8.0,Extrovert,1.0,0.0,1.0,0.0,14.0,0,1.624997968752539,64.0,9.0,1
3.0,9.0,6.0,15.0,5.0,Extrovert,1.0,0.0,1.0,0.0,15.0,0,1.6666648148168726,45.0,10.0,1
10.0,3.0,1.0,4.0,0.0,Introvert,0.0,1.0,0.0,1.0,4.0,1,1.3333288889037036,0.0,2.6666666666666665,0
3.0,6.0,7.0,14.0,10.0,Extrovert,1.0,0.0,1.0,0.0,13.0,0,2.3333294444509263,60.0,9.0,1
